Time[s],"X (HR=10%)",Time[s],"X (HR=20%)",Time[s],"X (HR=30%)",Time[s],"X (HR=40%)"
,,38415,0.025693753454947527,19315,0.03819789939192933,,
,,38535,0.025754560530680006,19371,0.03816473189607517,,
,,38655,0.025771144278607026,19431,0.03818684355997791,,
,,38775,0.025771144278607026,19491,0.0381757877280266,,
,,38895,0.025765616362631312,19551,0.03818131564400219,,
,,39015,0.025754560530680006,19611,0.03818131564400219,,
,,39135,0.025754560530680006,19671,0.03813709231619685,,
,,39255,0.025782200110558328,19731,0.03815367606412387,,
,,39375,0.025771144278607026,19791,0.03815367606412387,,
,,39495,0.025804311774461058,19851,0.03814262023217244,,
,,39615,0.025776672194582614,19911,0.03818684355997791,,
,,39735,0.025732448866777276,19971,0.03818684355997791,,
,,39855,0.025793255942509755,20031,0.03817025981205089,,
,,39975,0.02578772802653404,20091,0.03819237147595362,,
,,40095,0.0257600884466556,20151,0.03817025981205089,,
,,40215,0.025804311774461058,20211,0.03814262023217244,,
,,40335,0.025782200110558328,20271,0.03817025981205089,,
,,40455,0.025726920950801563,20331,0.03814262023217244,,
,,40575,0.025798783858485348,20391,0.03815920398009959,,
,,40695,0.025782200110558328,20451,0.03816473189607517,,
,,40815,0.02574350469872858,20511,0.03816473189607517,,
,,40935,0.02578772802653404,20571,0.03812603648424543,,
,,41055,0.025804311774461058,20631,0.03813156440022114,,
,,41175,0.02572139303482585,20691,0.03813709231619685,,
,,41295,0.025793255942509755,20751,0.03816473189607517,,
,,41415,0.025798783858485348,20812,0.03818131564400219,,
,,41535,0.025765616362631312,20871,0.03817025981205089,,
,,41655,0.02578772802653404,20931,0.03814814814814816,,
,,41775,0.025804311774461058,20991,0.0381757877280266,,
,,41895,0.025771144278607026,21051,0.03815920398009959,,
,,42015,0.02578772802653404,21112,0.03811498065229412,,
,,42135,0.025815367606412364,21171,0.0381757877280266,,
,,42255,0.025754560530680006,21231,0.03814262023217244,,
,,42375,0.025782200110558328,21291,0.03818684355997791,,
,,42495,0.025793255942509755,21351,0.03813709231619685,,
,,42615,0.025771144278607026,21411,0.03813709231619685,,
,,42735,0.02578772802653404,21471,0.03815367606412387,,
,,42855,0.025815367606412364,21531,0.03815920398009959,,
,,42975,0.025754560530680006,21591,0.03815920398009959,,
,,43095,0.025776672194582614,21651,0.03815367606412387,,
,,43215,0.025798783858485348,21711,0.03815367606412387,,
,,43335,0.02582642343836379,21771,0.03815367606412387,,
,,43455,0.025820895522388077,21831,0.03818684355997791,,
,,43575,0.02578772802653404,21891,0.03815367606412387,,
,,43695,0.025771144278607026,21951,0.03814262023217244,,
,,43815,0.02578772802653404,22011,0.03815920398009959,,
,,43935,0.02580983969043677,22071,0.03814262023217244,,
,,44055,0.025793255942509755,22131,0.03815920398009959,,
,,44175,0.025804311774461058,22191,0.03818684355997791,,
,,44295,0.02573797678275299,22251,0.03815920398009959,,
,,44415,0.025831951354339504,22311,0.03814262023217244,,
,,44535,0.02580983969043677,22371,0.03812603648424543,,
,,44655,0.02578772802653404,22431,0.03812603648424543,,
,,44775,0.025793255942509755,22491,0.03814814814814816,,
,,44895,0.025798783858485348,22551,0.0381757877280266,,
,,45015,0.025782200110558328,22611,0.03809286898839139,,
,,45135,0.025798783858485348,22671,0.03815367606412387,,
,,45255,0.02582642343836379,22731,0.03810945273631841,,
,,45375,0.02578772802653404,22791,0.03813156440022114,,
,,45495,0.025793255942509755,22851,0.03812603648424543,,
,,45615,0.025820895522388077,22911,0.03812603648424543,,
,,45735,0.025793255942509755,22971,0.03809286898839139,,
,,45855,0.025815367606412364,23031,0.03813156440022114,,
,,45975,0.02578772802653404,23091,0.03812603648424543,,
,,46095,0.025771144278607026,23151,0.03813709231619685,,
,,46215,0.025820895522388077,23211,0.03812050856826984,,
,,46335,0.025804311774461058,23273,0.03810945273631841,,
,,46455,0.02578772802653404,23331,0.03810392482034282,,
,,46575,0.025815367606412364,23391,0.03813709231619685,,
,,46695,0.025820895522388077,23451,0.03810945273631841,,
,,46815,0.025831951354339504,23511,0.03810392482034282,,
,,46935,0.025820895522388077,23571,0.03812603648424543,,
,,47055,0.025782200110558328,23631,0.03810392482034282,,
,,47175,0.02582642343836379,23691,0.03814262023217244,,
,,47295,0.02582642343836379,23751,0.03810392482034282,,
,,47415,0.025804311774461058,23811,0.03812603648424543,,
,,47535,0.025815367606412364,23871,0.03812603648424543,,
,,47655,0.02582642343836379,23931,0.03812603648424543,,
,,47775,0.025776672194582614,23991,0.03812603648424543,,
,,47895,0.02584853510226652,24051,0.03809839690436711,,
,,48015,0.02584853510226652,24111,0.03806522940851307,,
,,48135,0.025776672194582614,24171,0.03809286898839139,,
,,48255,0.025793255942509755,24231,0.03811498065229412,,
,,48375,0.025843007186290807,24291,0.03809839690436711,,
,,48495,0.025732448866777276,24351,0.03810392482034282,,
,,48615,0.025815367606412364,24411,0.03809286898839139,,
,,48735,0.025843007186290807,24471,0.03809839690436711,,
,,48855,0.025793255942509755,24531,0.03809286898839139,,
,,48975,0.025820895522388077,24591,0.03810392482034282,,
,,49095,0.025837479270315093,24651,0.03810945273631841,,
,,49215,0.025820895522388077,24711,0.03808734107241568,,
,,49335,0.02580983969043677,24771,0.03805970149253736,,
,,49455,0.02582642343836379,24831,0.03810392482034282,,
,,49575,0.0257600884466556,24891,0.03812603648424543,,
,,49695,0.02580983969043677,24951,0.03808181315644009,,
,,49815,0.025815367606412364,25011,0.03804864566058606,,
,,49935,0.02580983969043677,25071,0.03808734107241568,,
,,50055,0.02580983969043677,25131,0.03808181315644009,,
,,50175,0.02578772802653404,25191,0.03804864566058606,,
,,50295,0.02584853510226652,25251,0.03807628524046437,,
,,50415,0.02582642343836379,25311,0.03806522940851307,,
,,50535,0.025798783858485348,25371,0.03808734107241568,,
,,50655,0.025798783858485348,25431,0.03806522940851307,,
,,50775,0.025815367606412364,25491,0.03807628524046437,,
,,50895,0.025776672194582614,25551,0.03809286898839139,,
,,51015,0.025815367606412364,25611,0.03808734107241568,,
,,51135,0.025815367606412364,25671,0.03805417357656164,,
,,51255,0.025782200110558328,25731,0.03808734107241568,,
,,51375,0.02580983969043677,25791,0.03808734107241568,,
,,51495,0.02582642343836379,25851,0.03808181315644009,,
,,51615,0.025771144278607026,25911,0.03806522940851307,,
,,51735,0.025820895522388077,25971,0.03807075732448866,,
,,51855,0.025837479270315093,26031,0.03804864566058606,,
,,51975,0.025749032614704292,26091,0.03807628524046437,,
,,52095,0.02578772802653404,26151,0.03806522940851307,,
,,52215,0.02582642343836379,26211,0.03806522940851307,,
,,52335,0.025765616362631312,26271,0.03807075732448866,,
,,52455,0.02580983969043677,26331,0.037993366500829164,,
,,52575,0.02582642343836379,26391,0.03805417357656164,,
,,52695,0.025798783858485348,26451,0.03802653399668332,,
,,52815,0.02580983969043677,26511,0.03806522940851307,,
,,52935,0.025831951354339504,26571,0.03803758982863463,,
,,53055,0.025754560530680006,26631,0.03802100608070761,,
,,53175,0.025815367606412364,26691,0.03803758982863463,,
,,53295,0.02582642343836379,26751,0.03805417357656164,,
,,53415,0.025776672194582614,26811,0.03802100608070761,,
,,53535,0.025820895522388077,26871,0.03803758982863463,,
,,53655,0.025815367606412364,26931,0.03802653399668332,,
,,53775,0.025854063018242113,26991,0.03802653399668332,,
,,53895,0.02582642343836379,27051,0.03800442233278059,,
,,54015,0.025815367606412364,27111,0.03802653399668332,,
,,54135,0.025776672194582614,27171,0.03802100608070761,,
,,54255,0.02582642343836379,27231,0.03803206191265891,,
,,54375,0.025798783858485348,27291,0.03802100608070761,,
,,54495,0.025815367606412364,27351,0.03800442233278059,,
,,54615,0.025815367606412364,27411,0.03800995024875631,,
,,54735,0.025771144278607026,27471,0.03800995024875631,,
,,54855,0.025831951354339504,27531,0.03799889441680488,,
,,54975,0.025820895522388077,27591,0.037993366500829164,,
,,55095,0.025782200110558328,27651,0.037993366500829164,,
,,,,27711,0.03798783858485357,,
,,,,27771,0.037993366500829164,,
,,,,27831,0.037993366500829164,,
,,,,27891,0.03799889441680488,,
,,,,27951,0.03801547816473189,,
,,,,28011,0.03802100608070761,,
,,,,28071,0.03800442233278059,,
,,,,28131,0.03798231066887786,,
,,,,28191,0.03799889441680488,,
,,,,28251,0.03796572692095084,,
,,,,28311,0.03797125483692656,,
,,,,28371,0.03799889441680488,,
,,,,28431,0.03799889441680488,,
,,,,28491,0.03799889441680488,,
,,,,28551,0.03797678275290215,,
,,,,28611,0.03795467108899954,,
,,,,28671,0.03798783858485357,,
,,,,28731,0.0379380873410724,,
,,,,28791,0.03798231066887786,,
,,,,28851,0.03798231066887786,,
,,,,28911,0.03795467108899954,,
,,,,28971,0.03794914317302383,,
,,,,29031,0.03798231066887786,,
,,,,29091,0.03797125483692656,,
,,,,29151,0.03794914317302383,,
,,,,29211,0.03797125483692656,,
,,,,29271,0.03795467108899954,,
,,,,29331,0.03794914317302383,,
,,,,29391,0.03794914317302383,,
,,,,29451,0.03794914317302383,,
,,,,29511,0.03794914317302383,,
,,,,29571,0.03792703150912109,,
,,,,29631,0.0379380873410724,,
,,,,29691,0.03795467108899954,,
,,,,29751,0.03789939192924265,,
,,,,29811,0.03792150359314538,,
,,,,29871,0.0379380873410724,,
,,,,29931,0.03792703150912109,,
,,,,29991,0.0379380873410724,,
,,,,30051,0.03791044776119408,,
,,,,30111,0.03793255942509681,,
,,,,30171,0.0379380873410724,,
,,,,30231,0.0379380873410724,,
,,,,30291,0.03795467108899954,,
,,,,30351,0.03794914317302383,,
,,,,30411,0.03792150359314538,,
,,,,30471,0.0379380873410724,,
,,,,30531,0.03791597567716979,,
,,,,30591,0.0379380873410724,,
,,,,30651,0.03792703150912109,,
,,,,30711,0.03793255942509681,,
,,,,30771,0.03793255942509681,,
,,,,30831,0.03791597567716979,,
,,,,30891,0.03789386401326706,,
,,,,30951,0.03788833609729135,,
,,,,31011,0.03789939192924265,,
,,,,31071,0.03787728026534004,,
,,,,31131,0.0378496406854616,,
,,,,31191,0.03789386401326706,,
,,,,31251,0.037866224433388614,,
,,,,31311,0.03787728026534004,,
,,,,31371,0.03788280818131563,,
,,,,31431,0.03788833609729135,,
,,,,31491,0.03789939192924265,,
,,,,31551,0.03788280818131563,,
,,,,31611,0.03791044776119408,,
,,,,31671,0.03785516860143731,,
,,,,31731,0.03787728026534004,,
,,,,31791,0.03786069651741303,,
,,,,31851,0.03786069651741303,,
,,,,31911,0.03789386401326706,,
,,,,31971,0.0378496406854616,,
,,,,32031,0.03787728026534004,,
,,,,32091,0.037866224433388614,,
,,,,32151,0.037866224433388614,,
,,,,32211,0.037866224433388614,,
,,,,32271,0.03787175234936433,,
,,,,32331,0.037844112769485884,,
,,,,32391,0.03785516860143731,,
,,,,32451,0.03785516860143731,,
,,,,32511,0.03787728026534004,,
,,,,32571,0.037805417357656135,,
,,,,32631,0.0378496406854616,,
,,,,32691,0.03786069651741303,,
,,,,32751,0.03786069651741303,,
,,,,32811,0.03781647318960756,,
,,,,32871,0.03787175234936433,,
,,,,32931,0.0378496406854616,,
,,,,32991,0.0378496406854616,,
,,,,33051,0.03781647318960756,,
,,,,33111,0.0378385848535103,,
,,,,33171,0.03783305693753458,,
,,,,33231,0.03779436152570483,,
,,,,33291,0.03782752902155887,,
,,,,33351,0.03782752902155887,,
,,,,33411,0.03783305693753458,,
,,,,33471,0.03782200110558328,,
,,,,33531,0.03782200110558328,,
,,,,33591,0.03779436152570483,,
,,,,33651,0.03778883360972912,,
,,,,33711,0.03782200110558328,,
,,,,33771,0.03779436152570483,,
,,,,33831,0.037805417357656135,,
,,,,33891,0.0377722498618021,,
,,,,33951,0.03779988944168055,,
,,,,34011,0.03778883360972912,,
,,,,34071,0.03779988944168055,,
,,,,34131,0.03779988944168055,,
,,,,34191,0.0377722498618021,,
,,,,34251,0.0377722498618021,,
,,,,34311,0.03779436152570483,,
,,,,34371,0.03779988944168055,,
,,,,34431,0.03775566611387508,,
,,,,34491,0.0377722498618021,,
,,,,34551,0.03779436152570483,,
,,,,34611,0.03778883360972912,,
,,,,34671,0.03776672194582651,,
,,,,34731,0.0377722498618021,,
,,,,34791,0.03778330569375353,,
,,,,34851,0.03772249861802105,,
,,,,34911,0.03777777777777781,,
,,,,34971,0.0377611940298508,,
,,,,35031,0.03778330569375353,,
,,,,35091,0.03771144278606975,,
,,,,35151,0.037733554449972354,,
,,,,35211,0.03770591487009403,,
,,,,35271,0.03772249861802105,,
,,,,35331,0.0377722498618021,,
,,,,35391,0.03772802653399676,,
,,,,35451,0.03777777777777781,,
,,,,35511,0.03772802653399676,,
,,,,35571,0.03774461028192378,,
,,,,35631,0.03778330569375353,,
,,,,35691,0.037733554449972354,,
,,,,35751,0.03770038695411832,,
,,,,35811,0.037694859038142604,,
,,,,35871,0.03772249861802105,,
,,,,35931,0.03774461028192378,,
,,,,35991,0.037716970702045334,,
,,,,36051,0.03770038695411832,,
,,,,36111,0.037694859038142604,,
,,,,36171,0.03771144278606975,,
,,,,36231,0.037733554449972354,,
,,,,36291,0.03770591487009403,,
,,,,36351,0.03772802653399676,,
,,,,36411,0.0376838032061913,,
,,,,36471,0.0376838032061913,,
,,,,36531,0.03770591487009403,,
,,,,36591,0.03772802653399676,,
,,,,36651,0.03767274737424,,
,,,,36711,0.0376838032061913,,
,,,,36771,0.03767827529021559,,
,,,,36831,0.037694859038142604,,
,,,,36891,0.03772249861802105,,
,,,,36951,0.03765063571033727,,
,,,,37011,0.03771144278606975,,
,,,,37071,0.03768933112216702,,
,,,,37131,0.03768933112216702,,
,,,,37191,0.03766169154228857,,
,,,,37251,0.03767827529021559,,
,,,,37313,0.037694859038142604,,
,,,,37371,0.03767827529021559,,
,,,,37431,0.03767274737424,,
,,,,37491,0.0376838032061913,,
,,,,37551,0.03766721945826428,,
,,,,37611,0.03767827529021559,,
,,,,37671,0.03765063571033727,,
,,,,37731,0.03768933112216702,,
,,,,37791,0.03763957987838584,,
,,,,37851,0.03764510779436155,,
,,,,37911,0.0376838032061913,,
,,,,37971,0.03767274737424,,
,,,,38031,0.03762299613045882,,
,,,,38091,0.03765063571033727,,
,,,,38151,0.03766721945826428,,
,,,,38211,0.03762299613045882,,
,,,,38271,0.03765063571033727,,
,,,,38331,0.037656163626312855,,
,,,,38391,0.03763405196241025,,
,,,,38451,0.0376838032061913,,
,,,,38511,0.03761746821448323,,
,,,,38571,0.03762299613045882,,
,,,,38631,0.03758982863460479,,
,,,,38691,0.03763957987838584,,
,,,,38751,0.03764510779436155,,
,,,,38811,0.03762852404643454,,
,,,,38871,0.03764510779436155,,
